planner_a,planner_b,comparison,metric,n_independent_seeds,scenarios_per_seed,mean_seed_delta_b_minus_a,ci95_low,ci95_high,wilcoxon_p,holm_p
P1,P2,P2-P1,mean_outage_probability,50,5,-0.01739550,-0.02029071,-0.01434383,8.842704e-12,1.768541e-11
P1,P2,P2-P1,mean_snr_db,50,5,0.2799101,0.2349574,0.3262818,8.881784e-15,4.440892e-14
P1,P2,P2-P1,min_snr_db,50,5,2.009732,1.568622,2.444662,5.610268e-11,5.610268e-11
P1,P2,P2-P1,mean_ber_model,50,5,-0.003045366,-0.003592438,-0.002512081,1.243450e-13,4.973799e-13
P1,P2,P2-P1,mean_goodput_bps_model,50,5,3045366,2512081,3592438,1.243450e-13,4.973799e-13
P2,P3,P3-P2,mean_outage_probability,50,5,0.006358067,0.003442366,0.009053053,1.976720e-06,7.906881e-06
P2,P3,P3-P2,mean_snr_db,50,5,-0.1201227,-0.1622784,-0.08033025,1.064210e-08,5.321050e-08
P2,P3,P3-P2,min_snr_db,50,5,-0.5530804,-0.9193401,-0.2355718,9.149367e-04,9.149367e-04
P2,P3,P3-P2,mean_ber_model,50,5,0.0006210583,0.0002478632,0.001078084,8.398094e-06,2.519428e-05
P2,P3,P3-P2,mean_goodput_bps_model,50,5,-621058.3,-1078084,-247863.2,8.398094e-06,2.519428e-05
P2,P4,P4-P2,mean_outage_probability,50,5,-0.001394904,-0.004724841,0.001750163,0.7740532,1.0
P2,P4,P4-P2,mean_snr_db,50,5,0.04895315,-0.01623304,0.1195255,0.3136656,1.0
P2,P4,P4-P2,min_snr_db,50,5,-0.06500330,-0.5264859,0.3910396,0.6596977,1.0
P2,P4,P4-P2,mean_ber_model,50,5,0.0002049474,-0.0001807613,0.0006182170,0.2910353,1.0
P2,P4,P4-P2,mean_goodput_bps_model,50,5,-204947.4,-618217.0,180761.3,0.2910353,1.0
