seed,metric,comparison,n_test_runs,seed_mean_delta,seed_median_delta
0,violation_fraction,P2-P1,9,-0.0027910452451728788,-0.0005913660555884001
0,violation_fraction,P3-P2,9,0.00034228812604033344,0.0
0,violation_fraction,P3-P1,9,-0.0024487571191325447,0.0
0,mean_measured_delay_ms,P2-P1,9,-0.791924337592634,-0.060319337670019735
0,mean_measured_delay_ms,P3-P2,9,0.07257246729902968,0.0
0,mean_measured_delay_ms,P3-P1,9,-0.7193518702936044,-0.060319337670019735
0,mean_mobility_deviation,P2-P1,9,0.012538086614495077,0.0054852320675105
0,mean_mobility_deviation,P3-P2,9,0.010514792205676533,0.0080500894454383
0,mean_mobility_deviation,P3-P1,9,0.02305287882017161,0.0277280858676207
0,unsupported_fraction,P2-P1,9,0.0001808154778048999,0.0
0,unsupported_fraction,P3-P2,9,-0.01836113102488438,-0.0080500894454382
0,unsupported_fraction,P3-P1,9,-0.018180315547079478,-0.0080500894454382
1,violation_fraction,P2-P1,9,-0.004532754123002967,0.0
1,violation_fraction,P3-P2,9,-0.00010156408693885578,0.0
1,violation_fraction,P3-P1,9,-0.004634318209941823,0.0
1,mean_measured_delay_ms,P2-P1,9,-1.2530153039002012,0.0
1,mean_measured_delay_ms,P3-P2,9,0.015114059468180821,0.0
1,mean_measured_delay_ms,P3-P1,9,-1.2379012444320203,-0.03192584963954914
1,mean_mobility_deviation,P2-P1,9,0.008237527744554001,0.0026753864447086
1,mean_mobility_deviation,P3-P2,9,0.0081532573003948,0.005787037037037
1,mean_mobility_deviation,P3-P1,9,0.0163907850449488,0.0151710781149128
1,unsupported_fraction,P2-P1,9,0.00012640626975097793,0.0
1,unsupported_fraction,P3-P2,9,-0.015285928663497669,-0.011574074074074098
1,unsupported_fraction,P3-P1,9,-0.01515952239374669,-0.011574074074074098
2,violation_fraction,P2-P1,9,-0.0005480202767502332,0.0
2,violation_fraction,P3-P2,9,0.00040610786224821115,0.0
2,violation_fraction,P3-P1,9,-0.00014191241450202204,0.0
2,mean_measured_delay_ms,P2-P1,9,-0.06918755993971794,0.0
2,mean_measured_delay_ms,P3-P2,9,0.14338942531969165,0.0
2,mean_measured_delay_ms,P3-P1,9,0.07420186537997371,0.0
2,mean_mobility_deviation,P2-P1,9,0.0005480202767502333,0.0
2,mean_mobility_deviation,P3-P2,9,0.009524043515574168,0.0079744816586921
2,mean_mobility_deviation,P3-P1,9,0.0100720637923244,0.0079744816586921
2,unsupported_fraction,P2-P1,9,0.0,0.0
2,unsupported_fraction,P3-P2,9,-0.019048087031148415,-0.0159489633173844
2,unsupported_fraction,P3-P1,9,-0.019048087031148415,-0.0159489633173844
3,violation_fraction,P2-P1,9,-0.0011537097597831335,0.0
3,violation_fraction,P3-P2,9,-0.0003586543289577444,0.0
3,violation_fraction,P3-P1,9,-0.001512364088740878,0.0
3,mean_measured_delay_ms,P2-P1,9,-0.26297228275110346,-0.02275312855517697
3,mean_measured_delay_ms,P3-P2,9,-0.031090395332836432,-0.0032546786004878925
3,mean_measured_delay_ms,P3-P1,9,-0.2940626780839399,-0.02166934189406078
3,mean_mobility_deviation,P2-P1,9,0.011804504516838411,0.0076988879384088
3,mean_mobility_deviation,P3-P2,9,0.029191087630698706,0.022913256955810098
3,mean_mobility_deviation,P3-P1,9,0.04099559214753712,0.0500568828213879
3,unsupported_fraction,P2-P1,9,0.0006172846028346576,0.0
3,unsupported_fraction,P3-P2,9,-0.0562008002681386,-0.0360065466448446
3,unsupported_fraction,P3-P1,9,-0.05558351566530392,-0.035801464605370203
4,violation_fraction,P2-P1,9,-0.0021709068445637447,0.0
4,violation_fraction,P3-P2,9,-0.0013941780859073997,0.0
4,violation_fraction,P3-P1,9,-0.0035650849304711446,-0.0016273393002441002
4,mean_measured_delay_ms,P2-P1,9,-0.1297749232080826,0.0
4,mean_measured_delay_ms,P3-P2,9,-0.22881215117433346,0.0
4,mean_measured_delay_ms,P3-P1,9,-0.35858707438241605,-0.023781212841857524
4,mean_mobility_deviation,P2-P1,9,0.009132376734375176,0.0011890606420927
4,mean_mobility_deviation,P3-P2,9,0.015966758331785944,0.0151515151515152
4,mean_mobility_deviation,P3-P1,9,0.02509913506616112,0.0289115646258503
4,unsupported_fraction,P2-P1,9,0.000531632110579478,0.0
4,unsupported_fraction,P3-P2,9,-0.03087206071489791,-0.0247371675943105
4,unsupported_fraction,P3-P1,9,-0.030340428604318435,-0.0247371675943105
