metric,comparison,n_runs,mean_delta,ci95_lo,ci95_hi,wilcoxon_p,holm_p
violation_fraction,P2-P1,9,-0.0027910452451728788,-0.005243563012055118,-0.0006497725795971556,0.0625,0.3125
violation_fraction,P3-P2,9,0.00034228812604033344,-0.00039753528125622216,0.0011908283462656,0.5,1.0
violation_fraction,P3-P1,9,-0.0024487571191325447,-0.00520903224238406,-0.00021569329041135917,0.125,0.5
mean_measured_delay_ms,P2-P1,9,-0.791924337592634,-1.723327440168006,-0.13772865353260125,0.046875,0.28125
mean_measured_delay_ms,P3-P2,9,0.07257246729902968,-0.051639620811951475,0.2197170161910845,0.7421875,1.0
mean_measured_delay_ms,P3-P1,9,-0.7193518702936044,-1.6484261825602662,-0.06371001279100078,0.02734375,0.24609375
mean_mobility_deviation,P2-P1,9,0.012538086614495077,0.004964784106791637,0.020306866302690647,0.015625,0.15625
mean_mobility_deviation,P3-P2,9,0.010514792205676533,0.004659589564721502,0.016911004344342853,0.0078125,0.0859375
mean_mobility_deviation,P3-P1,9,0.02305287882017161,0.01380064708031995,0.031305498123656426,0.00390625,0.046875
unsupported_fraction,P2-P1,9,0.0001808154778048999,0.0,0.0005424464334146997,1.0,1.0
unsupported_fraction,P3-P2,9,-0.01836113102488438,-0.032135997990927555,-0.0060312186583692,0.03125,0.25
unsupported_fraction,P3-P1,9,-0.018180315547079478,-0.03153308115611682,-0.0060312186583692,0.03125,0.25
