metric,comparison,n_split_assignments,mean_split_effect,median_split_effect,min_split_effect,max_split_effect,fraction_splits_negative,fraction_splits_positive,all_splits_same_nonzero_direction,inference_status
mean_measured_delay_ms,P2-P1,5,-0.5013748814783479,-0.26297228275110346,-1.2530153039002012,-0.06918755993971794,1.0,0.0,True,descriptive sensitivity only; split assignments reuse measured drives
mean_measured_delay_ms,P3-P1,5,-0.5071402003624014,-0.35858707438241605,-1.2379012444320203,0.07420186537997371,0.8,0.2,False,descriptive sensitivity only; split assignments reuse measured drives
mean_measured_delay_ms,P3-P2,5,-0.005765318884053549,0.015114059468180821,-0.22881215117433346,0.14338942531969165,0.4,0.6,False,descriptive sensitivity only; split assignments reuse measured drives
mean_mobility_deviation,P2-P1,5,0.00845210317740258,0.009132376734375176,0.0005480202767502333,0.012538086614495077,0.0,1.0,True,descriptive sensitivity only; split assignments reuse measured drives
mean_mobility_deviation,P3-P1,5,0.02312209097422861,0.02305287882017161,0.0100720637923244,0.04099559214753712,0.0,1.0,True,descriptive sensitivity only; split assignments reuse measured drives
mean_mobility_deviation,P3-P2,5,0.014669987796826028,0.010514792205676533,0.0081532573003948,0.029191087630698706,0.0,1.0,True,descriptive sensitivity only; split assignments reuse measured drives
unsupported_fraction,P2-P1,5,0.0002912276921940027,0.0001808154778048999,0.0,0.0006172846028346576,0.0,0.8,False,descriptive sensitivity only; split assignments reuse measured drives
unsupported_fraction,P3-P1,5,-0.027662373848319387,-0.019048087031148415,-0.05558351566530392,-0.01515952239374669,1.0,0.0,True,descriptive sensitivity only; split assignments reuse measured drives
unsupported_fraction,P3-P2,5,-0.027953601540513396,-0.019048087031148415,-0.0562008002681386,-0.015285928663497669,1.0,0.0,True,descriptive sensitivity only; split assignments reuse measured drives
violation_fraction,P2-P1,5,-0.0022392872498545914,-0.0021709068445637447,-0.004532754123002967,-0.0005480202767502332,1.0,0.0,True,descriptive sensitivity only; split assignments reuse measured drives
violation_fraction,P3-P1,5,-0.0024604873525576826,-0.0024487571191325447,-0.004634318209941823,-0.00014191241450202204,1.0,0.0,True,descriptive sensitivity only; split assignments reuse measured drives
violation_fraction,P3-P2,5,-0.00022120010270309105,-0.00010156408693885578,-0.0013941780859073997,0.00040610786224821115,0.6,0.4,False,descriptive sensitivity only; split assignments reuse measured drives
