scenario,planner,episodes,regret,probe_fraction,parameter_error,progress_m,outage,collision_rate,no_candidate_steps
E_decision_irrelevant_uncertainty,C0,50,0.0,0.0,1.439688884,28.455,0.362471044,0.0,0.0
E_decision_irrelevant_uncertainty,C1,50,0.0,0.0,1.203511583,28.455,0.362471044,0.0,0.0
E_decision_irrelevant_uncertainty,C2,50,0.008610058,0.004666667,1.158284032,28.454223842,0.363815439,0.0,0.0
E_decision_irrelevant_uncertainty,C3,50,0.0,0.0,1.203511583,28.455,0.362471044,0.0,0.0
E_decision_irrelevant_uncertainty,C4,50,0.0,0.0,0.0,28.455,0.362471044,0.0,0.0
F_decision_critical_uncertainty,C0,50,0.031984043,0.0,1.439688884,12.912243176,0.183184753,0.0,0.0
F_decision_critical_uncertainty,C1,50,0.028036991,0.0,0.362865896,12.912204590,0.186298797,0.0,0.0
F_decision_critical_uncertainty,C2,50,0.140882423,0.010666667,0.275249547,12.911870127,0.176687987,0.0,0.0
F_decision_critical_uncertainty,C3,50,0.034416163,0.003333333,0.323570338,12.912231864,0.176871046,0.0,0.0
F_decision_critical_uncertainty,C4,50,0.0,0.0,0.0,12.907952865,0.305154349,0.0,0.0
