scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,margin_relaxation_steps,margin_relaxation_indicator,first_margin_relaxation_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,15000,40,4.0,0.5,15.08822390118694,-3.9748292173231192,0.1385951174903103,0.01713132933766471,982868670.6623352,37.289999999999985,37.289999999999985,3.0502622838044733,0.7745864812060268,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2884,3196,1.6048957577899443,3.7007883893794555,False
following_lateral_offset,P1,15000,40,4.0,0.5,15.08822390118694,-3.9748292173231192,0.1385951174903103,0.01713132933766471,982868670.6623352,37.289999999999985,37.289999999999985,3.0502622838044733,0.7745864812060268,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2884,3196,1.6048957577899443,3.7007883893794555,False
following_lateral_offset,P2,15000,40,4.0,0.5,16.744442824592376,10.65703843767347,0.024587859106204157,1.1226945791762364e-07,999999887.7305422,37.23999999999999,37.23224225872233,3.000235286721987,0.7036424161680641,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,228,0,0,2694,3158,1.6048957577899443,3.7007883893794555,False
following_lateral_offset,P3,15000,40,4.0,0.5,16.068335257138095,6.610857643463426,0.070644493169386,0.00016564323952451433,999834356.7604755,37.23999999999998,37.23778353857263,3.038945736337056,0.7818953521584415,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,117,0,0,2787,3176,1.6048957577899443,3.7007883893794555,False
following_lateral_offset,P4,15000,40,4.0,0.5,15.944384081102395,1.652810602035359,0.07796562772504871,0.0029316540354138044,997068345.9645863,37.23999999999998,37.23778353857263,3.038945736337056,0.7818953521584415,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,117,0,0,2787,3176,1.6048957577899443,3.7007883893794555,False
following_lateral_offset,P0,15001,40,4.0,0.5,15.779798395440276,-1.3092064520880875,0.09729639259222964,0.00869362730302407,991306372.696976,37.14,37.14,3.184273857569414,0.6965476309547664,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2749,3331,1.7747964430522576,3.95850468599878,False
following_lateral_offset,P1,15001,40,4.0,0.5,15.779798395440276,-1.3092064520880875,0.09729639259222964,0.00869362730302407,991306372.696976,37.14,37.14,3.184273857569414,0.6965476309547664,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2749,3331,1.7747964430522576,3.95850468599878,False
following_lateral_offset,P2,15001,40,4.0,0.5,16.155782851417932,5.0798337228904415,0.07360431070235825,0.0005834833346666194,999416516.6653334,37.139999999999986,37.13908561978043,3.1608479992717107,0.6247393936371323,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,46,0,0,2731,3303,1.7747964430522576,3.95850468599878,False
following_lateral_offset,P3,15001,40,4.0,0.5,16.031522053021046,3.0594417263142972,0.08304540908856835,0.002554875092701977,997445124.9072978,37.139999999999986,37.13953125484044,3.172725527866347,0.6315747302584309,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,23,0,0,2746,3311,1.7747964430522576,3.95850468599878,False
following_lateral_offset,P4,15001,40,4.0,0.5,15.779798395440276,-1.3092064520880875,0.09729639259222964,0.00869362730302407,991306372.696976,37.14,37.14,3.184273857569414,0.6965476309547664,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2749,3331,1.7747964430522576,3.95850468599878,False
following_lateral_offset,P0,15002,40,4.0,0.5,15.890700903256294,1.0923615944448812,0.09403279385222038,0.004505719264042218,995494280.7359577,36.983333333333356,36.983333333333356,3.3256995922328345,0.657261095568858,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2673,3407,1.9265213423358218,4.295468048218334,False
following_lateral_offset,P1,15002,40,4.0,0.5,15.886659623734861,1.0923615944449772,0.09449487490585413,0.004568034569522283,995431965.4304777,36.98333333333335,36.98333333333335,3.325699592232841,0.6807347061248917,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2674,3406,1.9265213423358218,4.295468048218334,False
following_lateral_offset,P2,15002,40,4.0,0.5,17.34851330338438,14.343624300279918,0.01188505913316568,2.1600407148620063e-14,999999999.9999784,36.65666666666669,36.65245422971898,3.554014740288566,0.9690839452698842,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,194,0,0,2467,3419,1.9265213423358218,4.295468048218334,False
following_lateral_offset,P3,15002,40,4.0,0.5,17.246451714305238,14.048748539380094,0.012735445922016943,1.235386070089979e-13,999999999.9998764,36.63666666666669,36.633671237758016,3.579209027478419,0.9646749644439907,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,165,0,0,2488,3427,1.9265213423358218,4.295468048218334,False
following_lateral_offset,P4,15002,40,4.0,0.5,16.667972839564268,10.84872580608532,0.028355525061656554,7.632526315867197e-08,999999923.6747367,36.80666666666669,36.80477754708247,3.445888148697335,0.8670515102903127,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,94,0,0,2568,3418,1.9265213423358218,4.295468048218334,False
following_lateral_offset,P0,15003,40,4.0,0.5,14.385597197889098,-9.901971740877137,0.16340108140216508,0.0315400354648865,968459964.5351136,37.560000000000024,37.560000000000024,2.8131121556027385,0.6324812180481117,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2830,3250,1.6701978024952815,3.841872605197355,False
following_lateral_offset,P1,15003,40,4.0,0.5,14.385597197889098,-9.901971740877137,0.16340108140216508,0.0315400354648865,968459964.5351136,37.560000000000024,37.560000000000024,2.8131121556027385,0.6324812180481117,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,0,0,0,2830,3250,1.6701978024952815,3.841872605197355,False
following_lateral_offset,P2,15003,40,4.0,0.5,16.343892217276437,8.909539634295847,0.043339320397405276,5.66236349739977e-06,999994337.6365026,37.41000000000002,37.40443793366141,2.8457817218142494,0.7177550907590973,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,219,0,0,2645,3216,1.6701978024952815,3.841872605197355,False
following_lateral_offset,P3,15003,40,4.0,0.5,15.924148500913052,5.009596917943696,0.0858764931708652,0.0007559879649838499,999244012.0350163,37.45000000000002,37.44720237611985,2.8297588680795647,0.7080324217796476,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,171,0,0,2690,3219,1.6701978024952815,3.841872605197355,False
following_lateral_offset,P4,15003,40,4.0,0.5,15.791761976225256,-0.28586406956802435,0.09006434741933282,0.005131524358739375,994868475.6412607,37.45000000000002,37.44720237611985,2.8297588680795647,0.7080324217796476,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,171,0,0,2690,3219,1.6701978024952815,3.841872605197355,False
following_lateral_offset,P0,15004,40,4.0,0.5,14.77837837791055,-8.892670508713984,0.13579596239672975,0.027166468397134207,972833531.6028658,37.47000000000001,37.46948985014695,2.905904436195932,0.6423809642880921,inf,0,0,0,0,-1,inf,0,-1,1,1,40,0,0,6080,23,0,0,2685,3372,1.7117403531429396,3.9201001928302945,False
following_lateral_offset,P1,15004,40,4.0,0.5,14.77837837791055,-8.892670508713984,0.13579596239672975,0.027166468397134207,972833531.6028658,37.47000000000001,37.46948985014695,2.905904436195932,0.6423809642880921,inf,0,0,0,0,-1,inf,0,-1,1,1,40,0,0,6080,23,0,0,2685,3372,1.7117403531429396,3.9201001928302945,False
following_lateral_offset,P2,15004,40,4.0,0.5,16.81512240713189,10.527394073509509,0.02563467532029936,1.7423865364170892e-07,999999825.7613465,37.100000000000016,37.09588164792011,3.1402486978586235,0.8116663926984409,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,202,0,0,2457,3421,1.7117403531429396,3.9201001928302945,False
following_lateral_offset,P3,15004,40,4.0,0.5,16.470558636225018,4.228984351642858,0.04903187023148141,0.0008857872052020583,999114212.7947979,37.19000000000001,37.18703624071217,3.063863192786858,0.7434714207058092,inf,0,0,0,0,-1,inf,0,-1,0,0,-1,0,0,6080,170,0,0,2534,3376,1.7117403531429396,3.9201001928302945,False
